elev
40.00
128.00
136.00
144.00
160.00
168.00
176.00
184.00
200.00
208.00
216.00
256.00
288.00
328.00
384.00
392.00
400.00
456.00
472.00
480.00
528.00
568.00
640.00
672.00
688.00
704.00
736.00
752.00
784.00
808.00
848.00
864.00
872.00
912.00
944.00
976.00
992.00
1008.00
1032.00
1096.00
1104.00
1128.00
1136.00
1208.00
1240.00
1248.00
1264.00
1272.00
1296.00
1304.00
1312.00
1368.00
1520.00
1592.00
1896.00
304.00
344.00
352.00
360.00
408.00
432.00
440.00
464.00
504.00
544.00
560.00
656.00
760.00
776.00
824.00
904.00
984.00
1024.00
1048.00
1120.00
1192.00
1320.00
312.00
368.00
448.00
520.00
632.00
1144.00
1232.00
320.00
336.00
1040.00
416.00
424.00
304.00
344.00
352.00
360.00
408.00
432.00
440.00
464.00
504.00
544.00
560.00
656.00
760.00
776.00
824.00
904.00
984.00
1024.00
1048.00
1120.00
1192.00
1320.00
312.00
368.00
448.00
520.00
632.00
1144.00
1232.00
320.00
336.00
1040.00
416.00
424.00
312.00
368.00
448.00
520.00
632.00
1144.00
1232.00
320.00
336.00
1040.00
416.00
424.00
320.00
336.00
1040.00
416.00
424.00
320.00
336.00
1040.00
416.00
424.00
416.00
424.00
416.00
424.00
424.00
